File Updated: 22-Dec-2023, Data version 2.0 deriv_screen =  250 ,,,,,,,,,,,,,,,,
Site_Code,Country,City,Latitude,Longitude,Elevation_meters,Year_local,Month_local,Day_local,hour_local,Parameter_Code,Parameter_Name,Value,Units,Method_Code,Collection_Description,Analysis_Description,Conditions
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,17,28108,Estimated PM2.5 mass,13.2,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,18,28108,Estimated PM2.5 mass,16.2,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,19,28108,Estimated PM2.5 mass,16.3,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,20,28108,Estimated PM2.5 mass,17.2,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,21,28108,Estimated PM2.5 mass,15,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,22,28108,Estimated PM2.5 mass,14.4,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,25,23,28108,Estimated PM2.5 mass,12.7,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,0,28108,Estimated PM2.5 mass,15.2,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,1,28108,Estimated PM2.5 mass,14.4,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,2,28108,Estimated PM2.5 mass,11,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,3,28108,Estimated PM2.5 mass,10.4,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,4,28108,Estimated PM2.5 mass,16.3,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local
AEAZ,UAE,AbuDhabi,24.4416,54.6166,4,2019,11,26,5,28108,Estimated PM2.5 mass,19,Micrograms per cubic meter (ug/m3),183,Filter PM2.5 mass (28101) and Airphoton 3-wavelength integrating nephelometer. Dry scatter inferred to 550 nm using filter-specific kappa to account for aerosol hygroscopicity.,Nephelometry,Ambient local